COGs,Trait
1454,Human
1463,Human
1461,Human
1466,Human
1457,Human
1477,Human
1468,Human
1458,Human
1470,Human
1477,Human
1470,Human
1471,Human
1469,Human
1465,Human
1473,Human
1475,Human
1465,Human
1473,Human
1461,Human
1460,Human
1459,Human
1462,Human
1454,Human
1460,Human
1451,Human
1419,Human
1442,Human
1457,Human
1457,Human
1452,Human
1454,Human
1466,Human
1448,Human
1451,Human
1454,Human
1451,Human
1456,Human
1455,Human
1459,Human
1451,Human
1456,Human
1463,Human
1457,Human
1468,Human
1464,Human
1457,Human
1460,Human
1462,Human
1462,Human
1459,Human
1453,Human
1457,Human
1462,Human
1451,Human
1455,Human
1456,Human
1457,Human
1463,Human
1461,Human
1450,Human
1446,Human
1472,Human
1465,Human
1463,Human
1453,Human
1468,Human
1434,Human
1461,Human
1453,Human
1448,Human
1453,Human
1458,Human
1456,Human
1455,Human
1454,Human
1449,Human
1464,Human
1465,Human
1459,Human
1455,Human
1460,Human
1457,Human
1455,Human
1465,Human
1451,Human
1467,Human
1471,Human
1450,Human
1446,Human
1461,Human
1454,Human
1454,Human
1461,Human
1459,Human
1458,Human
1457,Human
1466,Human
1453,Human
1461,Human
1454,Human
1460,Human
1457,Human
1453,Human
1454,Human
1458,Human
1462,Human
1461,Human
1459,Human
1460,Human
1453,Human
1475,Human
1453,Human
1452,Human
1456,Human
1456,Human
1468,Human
1463,Human
1468,Human
1456,Human
1459,Human
1457,Human
1462,Human
1452,Human
1459,Human
1458,Human
1465,Human
1454,Human
1472,Human
1443,Human
1461,Human
1454,Human
1460,Human
1451,Human
1454,Human
1451,Human
1428,Human
1457,Human
1464,Human
1454,Human
1460,Human
1452,Human
1450,Human
1459,Human
1469,Human
1460,Human
1466,Human
1469,Human
1472,Human
1462,Human
1443,Human
1454,Human
1463,Human
1464,Human
1456,Human
1452,Human
1467,Human
1442,Human
1455,Human
1463,Human
1456,Human
1449,Human
1455,Human
1459,Human
1454,Human
1470,Human
1469,Human
1451,Human
1464,Human
1457,Human
1461,Human
1465,Human
1461,Human
1452,Human
1454,Human
1467,Human
1465,Human
1447,Human
1446,Human
1465,Human
1467,Human
1457,Human
1464,Human
1460,Human
1467,Human
1456,Human
1460,Human
1461,Human
1466,Human
1460,Human
1460,Human
1459,Human
1450,Human
1459,Human
1460,Human
1470,Human
1460,Human
1474,Human
1456,Human
1458,Human
1458,Human
1458,Human
1459,Human
1462,Human
1456,Human
1461,Human
1463,Human
1463,Human
1467,Human
1467,Human
1464,Human
1463,Human
1465,Human
1458,Human
1469,Human
1458,Human
1457,Human
1457,Human
1457,Human
1458,Human
1457,Human
1457,Human
1401,Human
1462,Human
1457,Human
1463,Human
1425,Human
1430,Human
1425,Human
1439,Human
1453,Human
1450,Human
1454,Human
1451,Human
1452,Human
1449,Human
1451,Human
1453,Human
1452,Human
1454,Human
1449,Human
1448,Human
1447,Human
1450,Human
1452,Human
1447,Human
1456,Human
1453,Human
1431,Human
1441,Human
1446,Human
1425,Human
1442,Human
1436,Human
1451,Human
1438,Human
1404,Human
1443,Human
1449,Human
1454,Human
1454,Human
1451,Human
1459,Human
1448,Human
1452,Human
1454,Human
1451,Human
1447,Human
1455,Human
1449,Human
1451,Human
1452,Human
1452,Human
1448,Human
1451,Human
1452,Human
1457,Human
1453,Human
1453,Human
1453,Human
1451,Human
1456,Human
1455,Human
1453,Human
1448,Human
1458,Human
1451,Human
1448,Human
1449,Human
1453,Human
1448,Human
1456,Human
1451,Human
1448,Human
1457,Human
1454,Human
1443,Human
1454,Human
1452,Human
1452,Human
1448,Human
1450,Human
1457,Human
1449,Human
1458,Human
1456,Human
1461,Human
1461,Human
1451,Human
1467,Human
1458,Human
1455,Human
1456,Human
1459,Human
1456,Human
1462,Human
1458,Human
1451,Human
1457,Human
1456,Human
1453,Human
1458,Human
1453,Human
1456,Human
1455,Human
1450,Human
1459,Human
1467,Human
1450,Human
1468,Human
1453,Human
1466,Human
1454,Human
1461,Human
1473,Human
1461,Human
1468,Human
1465,Human
1451,Human
1466,Human
1462,Human
1466,Human
1467,Human
1461,Human
1461,Human
1467,Human
1438,Human
1428,Human
1455,Human
1460,Human
1447,Human
1452,Human
1457,Human
1457,Human
1459,Human
1445,Human
1409,Human
1460,Human
1452,Human
1392,Human
1463,Human
1460,Human
